notation,title,description,id,title_en,description_en
,Auszubildende,,1,Trainees,
,Babys,0-12 Monate,23,Babys,0-12 months
,Behörden,,2,Authorities,
,Berufsanfänger,,3,Career Starters,
,Betriebe,,22,Companies,
,Eltern,,4,Parents,
,Erwachsene,,19,Adults,
,Hochschulabsolventen,,5,University Graduates,
,Jugendliche,,6,Teenagers,
,Kindergartenkinder,,20,Kindergarten Children,
,Lehrkräfte,,7,Teachers,
,Pädagogisches Personal,,8,Educational Staff,
,Promotionsberechtigte,,21,Persons qualified for promotion,
,Promovierende,,18,Doctoral Students,
,Referendare,,9,Preservice Teachers,
,Schulabgänger,,10,School Leavers,
,Schulen,,11,Schools,
,Schüler,,12,Students,
,Schulleitung,,13,Principals,
,Studienzugangsberechtigte,,17,Persons Qualified for University,
,Studierende,,14,College Students,
,Vorschulkinder,,15,Preschool Children,
,wissenschaftliches Personal,,16,Academic Staff,
,sonstiges,,40,others,
