notation,title,description,id,title_en,description_en
,Interview: Rezeptives Interview,,1,Interview: Receptive interview,
,Interview: Problemzentriertes Interview,,2,Interview: Problem-centred interview,
,Interview: Leitfadeninterview,,3,Interview: Guide interview,
,Interview: Narratives Interview,,4,Interview: Narrative interview,
,Interview: Tiefeninterview,,5,Interview: In-depth interview,
,Interview: Episodisches Interview,,6,Interview: Episodic interview,
,Interview: Halbstandardisiertes Interview,,7,Interview: Semi-standardised interview,
,Interview: Erzählgenerierendes Interview,,8,Interview: Story-telling interview,
,Interview: Ethnografisches Interview,,9,Interview: Ethnographic interview,
,Interview: Fokussiertes Interview,,10,Interview: Focused interview,
,Interview: Ero-episches Gespräch,,11,Interview: Ero-epic conversation,
,Interview: Experteninterview,,12,Interview: Expert interview,
