notation,title,description,id,title_en,description_en
,Lehren und Lernen,,1,Teaching and Learning,
,Lebenschancen,,2,Opportunities in Life,
,Werte,,3, Values,
,Lebenswelt/Lebensbedingungen,,4,Living Environment/Living Conditions,
,Migration,,5,Migration,
,Digitalisierung,,6,Digitisation,
,Gleichstellung,,7,Equality,
,Arbeitsbedingungen,Working Conditions,8,Working Conditions,
,Bestandsdaten/Institutioneller Hintergrund,,9,Inventory Data/Institutional Background,
,Evaluation/Qualitätsentwicklung,,10,Evaluation/Quality Development,
,Qualifikation,,11,Qualification,
,Demographie individuell,,12,Demography individual,
,Kognitive Fähigkeiten/Kompetenzen,,13,Cognitive Ability/Achievement,
,Testverhalten,,14,Test Behaviour,
,Testverfahren,,15,Testing,
